year,batter,runs_scored,balls_faced,boundaries,dot_balls,wickets,sixes,fours,strike_rate,boundary_percentage,dot_ball_percentage,six_percentage,four_percentage,average
2007,A Chopra,42,55,5,27,4,0,5,76.36363636363637,9.090909090909092,49.09090909090909,0.0,9.090909090909092,10.5
2007,A Kumble,13,17,1,7,1,0,1,76.47058823529412,5.88235294117647,41.17647058823529,0.0,5.88235294117647,13.0
2007,A Mishra,37,42,3,16,4,0,3,88.09523809523809,7.142857142857142,38.095238095238095,0.0,7.142857142857142,9.25
2007,A Mukund,0,1,0,1,1,0,0,0.0,0.0,100.0,0.0,0.0,0.0
2007,A Nehra,3,13,0,9,0,0,0,23.076923076923077,0.0,69.23076923076923,0.0,0.0,
2007,A Symonds,161,111,24,39,2,9,15,145.04504504504504,21.62162162162162,35.13513513513514,8.108108108108109,13.513513513513514,80.5
2007,AA Noffke,9,12,1,4,1,0,1,75.0,8.333333333333332,33.33333333333333,0.0,8.333333333333332,9.0
2007,AB Agarkar,54,49,7,19,4,2,5,110.20408163265304,14.285714285714285,38.775510204081634,4.081632653061225,10.204081632653061,13.5
2007,AB Dinda,2,4,0,1,1,0,0,50.0,0.0,25.0,0.0,0.0,2.0
2007,AB de Villiers,95,100,6,37,4,1,5,95.0,6.0,37.0,1.0,5.0,23.75
2007,AC Gilchrist,436,328,70,134,13,19,51,132.9268292682927,21.341463414634145,40.853658536585364,5.7926829268292686,15.548780487804878,33.53846153846154
2007,AD Mascarenhas,9,8,1,4,1,1,0,112.5,12.5,50.0,12.5,0.0,9.0
2007,AM Nayar,206,142,25,34,8,9,16,145.07042253521126,17.6056338028169,23.943661971830984,6.338028169014084,11.267605633802818,25.75
2007,AM Rahane,4,19,1,16,2,0,1,21.052631578947366,5.263157894736842,84.21052631578947,0.0,5.263157894736842,2.0
2007,AS Yadav,49,40,7,15,7,2,5,122.50000000000001,17.5,37.5,5.0,12.5,7.0
2007,Abdur Razzak,0,2,0,2,0,0,0,0.0,0.0,100.0,0.0,0.0,
2007,B Akhil,46,32,7,11,3,3,4,143.75,21.875,34.375,9.375,12.5,15.333333333333334
2007,B Chipli,20,30,3,17,3,0,3,66.66666666666666,10.0,56.666666666666664,0.0,10.0,6.666666666666667
2007,B Lee,17,14,3,6,2,1,2,121.42857142857142,21.428571428571427,42.857142857142854,7.142857142857142,14.285714285714285,8.5
2007,BB McCullum,188,96,28,25,3,15,13,195.83333333333331,29.166666666666668,26.041666666666668,15.625,13.541666666666666,62.666666666666664
2007,BJ Hodge,12,18,2,11,2,0,2,66.66666666666666,11.11111111111111,61.111111111111114,0.0,11.11111111111111,6.0
2007,CK Kapugedera,16,24,0,7,3,0,0,66.66666666666666,0.0,29.166666666666668,0.0,0.0,5.333333333333333
2007,CL White,114,105,12,37,5,4,8,108.57142857142857,11.428571428571429,35.23809523809524,3.8095238095238098,7.6190476190476195,22.8
2007,CRD Fernando,2,1,0,0,1,0,0,200.0,0.0,0.0,0.0,0.0,2.0
2007,D Kalyankrishna,3,8,0,4,1,0,0,37.5,0.0,50.0,0.0,0.0,3.0
2007,D Salunkhe,33,24,5,8,1,0,5,137.5,20.833333333333336,33.33333333333333,0.0,20.833333333333336,33.0
2007,DB Das,103,95,14,42,6,5,9,108.42105263157895,14.736842105263156,44.21052631578947,5.263157894736842,9.473684210526317,17.166666666666668
2007,DB Ravi Teja,109,85,15,29,6,5,10,128.23529411764707,17.647058823529413,34.11764705882353,5.88235294117647,11.76470588235294,18.166666666666668
2007,DJ Bravo,178,137,24,46,6,5,19,129.92700729927006,17.51824817518248,33.57664233576642,3.64963503649635,13.86861313868613,29.666666666666668
