year,strike_rate,boundary_percentage,dot_ball_percentage,six_percentage,four_percentage,runs_scored,balls_faced,run_rate
2007,103.12688029679275,12.8872981586017,42.10328651107965,3.5307677117608347,9.356530446840866,109.14935064935065,87.5909090909091,7.97850100081548
2009,95.80029761000333,10.478801739124904,41.8249736708327,2.6553644386312487,7.823437300493656,156.27358490566039,132.56603773584905,7.52263023057216
2011,97.52064288622266,10.977780599453613,42.30839570177576,2.5752261668389833,8.40255443261463,110.71111111111111,94.51666666666667,7.460412625639217
2012,106.29308604210544,12.775047915755383,39.88782223935241,3.4270486715095263,9.347999244245857,125.42941176470588,104.51176470588236,7.5824843811560765
2013,98.7332453073905,11.240465851478636,43.47032555477364,2.5860175069564058,8.65444834452223,124.92441860465117,105.68023255813954,7.460637068823238
2014,107.38773491581824,12.554546193355497,38.42722596230838,3.8675673734250093,8.686978819930488,134.90977443609023,107.5187969924812,7.943076923076923
2015,113.18606205110802,13.789139290892546,36.263442963192055,4.236103850659741,9.553035440232804,135.09302325581396,105.82945736434108,8.066070905361851
2016,111.72407904313965,12.431405365234573,37.069369444681605,4.399101121766109,8.032304243468463,132.0735294117647,103.6470588235294,8.028660612939841
2017,109.03563214282016,12.533207156530093,39.05976824890325,4.296910457959098,8.236296698570996,125.31468531468532,96.93706293706293,8.131294185543211
2018,111.26894930790809,13.680081232030586,38.423700643642874,4.500771136281611,9.179310095748974,138.3913043478261,103.52173913043478,8.3582528349433
2019,106.32561464078174,13.07011103086526,41.486898397054,4.305499181302028,8.764611849563233,129.21527777777777,99.38888888888889,8.147288988261598
2020,104.53504048010728,11.505765721861415,40.732809555514706,3.520766197377676,7.984999524483738,139.593984962406,109.46616541353383,8.001648464867092
2021,101.45608429089538,11.37216769292714,40.969134011675635,3.753874599247926,7.618293093679215,118.97315436241611,96.81208053691275,7.751958405545928
2022,108.03390316203757,14.091984564093302,44.40831245901492,4.812481532488828,9.279503031604474,132.48275862068965,102.94252873563218,8.171616793211255
2023,109.97896886861074,13.302856511048835,38.18537349966036,4.652035697309118,8.650820813739717,138.01129943502823,100.92090395480226,8.628337905167106
2024,121.62530543165809,15.278645080513199,36.07439571037225,5.698494299559604,9.580150780953595,144.19298245614036,100.01754385964912,9.111033152078582
